id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
12475997,Ensuit studio room 1 km to BTS,44447908,Fame,,Bang Na,13.65864,100.61079,Entire home/apt,890,1,6,2018-10-24,0.06,1,365,0,
12486019,Luxury 2brs apt near Platinum mall and skytrain.,67590979,Nad,,Ratchathewi,13.75282,100.53532,Entire home/apt,3750,30,12,2023-04-25,0.13,3,89,0,
12495432,Bangkok Deluxe room in old town,66139717,Nana,,Phra Nakhon,13.76147,100.50274,Private room,,1,1,2016-05-02,0.01,3,0,0,
12495771,Pillow Pillow House near Phromphong station,67662233,Chalat,,Khlong Toei,13.71864,100.56386,Entire home/apt,9257,1,158,2020-10-04,1.68,2,348,0,
12521691,Cozy a/c room next to temples!,12059298,Net E Daniele,,Phra Nakhon,13.75448,100.50034,Private room,650,1,83,2024-05-12,0.81,3,365,6,
12523155,1 bed in Capsule 16 Bed Mixed Dorm,67836275,MovyLodge,,Ratchathewi,13.75432,100.5332,Hotel room,384,1,419,2024-08-11,4.17,8,364,103,
12545775,Cozy New Relaxing 3BR ~ BTS Ari,52130340,Pim,,Phaya Thai,13.77551,100.54438,Entire home/apt,3450,1,174,2024-09-14,1.73,10,113,24,
12547233,S60 สุขสวัสดิ์ 60 rent day/month,43172192,Ong,,Thung khru,13.6606,100.51641,Entire home/apt,499,1,0,,,1,364,0,
12548912,Banthat Thong Hostel,68013521,Fern,,Parthum Wan,13.73879,100.5211,Private room,1000,1,1,2017-01-04,0.01,2,90,0,
12550385,"Banthat Thong Hostel, near BTS",68013521,Fern,,Parthum Wan,13.7393,100.52245,Shared room,400,1,0,,,2,87,0,
12550883,Simple Decor White House in BKK,5140133,Ning,,Chatu Chak,13.84503,100.58344,Entire home/apt,,2,0,,,1,0,0,
12572150,Klang Muang- Monte Carlo Villa,68174574,Easra,,Chatu Chak,13.81658,100.54953,Entire home/apt,4800,1,0,,,1,365,0,
12574259,River Heaven Condominium,68188211,Look,,Bang Kho laen,13.7018,100.50064,Entire home/apt,,1,0,,,1,365,0,
12577671,STU Ideo Blucove 50m to BTS Udomsuk| 20min to Siam,276418453,G Living,,Bang Na,13.67795,100.6081,Entire home/apt,960,90,102,2024-05-01,1.00,36,18,1,
12593749,5mins to Skytrain/Suite CityView Balcony/Breakfast,64263937,Lebua Bangkok,,Bang Rak,13.72151,100.51683,Private room,6291,1,7,2024-04-02,0.10,10,325,1,
12594513,MRT Ladprao/ Thai style room,24823469,Jitthamas,,Huai Khwang,13.79939,100.58492,Private room,700,1,10,2024-04-22,0.13,2,365,7,
12594670,เช่าต่อเดือนcondo circleมักกะสัน,20705220,Pipattra,,Ratchathewi,13.74889,100.55589,Entire home/apt,,1,0,,,1,0,0,
12596966,soy milk home made,68346814,Sirilerrt,,Bang Khen,13.88022,100.61556,Entire home/apt,884,1,1,2019-01-28,0.01,1,364,0,
12598504,City View Balcony/Lounge Access/5mins to Skytrain,64263937,Lebua Bangkok,,Bang Rak,13.721525,100.516907,Hotel room,7505,1,13,2022-05-02,0.15,10,266,0,
12599032,River View Balcony/Lounge Access/5mins to Skytrain,64263937,Lebua Bangkok,,Bang Rak,13.72235,100.51579,Private room,7955,1,9,2022-12-03,0.14,10,266,0,
12599566,Baanbangkok Deluxe old town view,66139717,Nana,,Phra Nakhon,13.76212,100.50274,Private room,,1,0,,,3,0,0,
12611931,Vista Garden  Condo Near BTS Onnut,41598889,Anucha,,Vadhana,13.7132,100.60016,Entire home/apt,914,3,52,2018-08-24,0.53,6,337,0,
12621902,Cozy1BR-2minToBTS-10minTo Paragon,68525217,Pim&Young,,Bang Rak,13.72339,100.53066,Entire home/apt,1431,15,77,2024-06-06,0.75,2,148,1,
12630178,3C-Tropical Room,68582651,Thanawat,,Khlong Toei,13.72394,100.57791,Private room,1100,1,9,2018-11-26,0.09,7,43,0,
12633049,Cozy Spacious/1st BF+Airport Pickup wth 2+ nites,27550757,Team Boonjarud,,Phaya Thai,13.76543,100.54477,Entire home/apt,1434,1,85,2024-05-26,0.84,7,269,2,
12656961,6mins to subway. BIG private room B in townhouse!,64266578,Angie,,Chatu Chak,13.80415,100.56751,Private room,639,2,165,2022-11-24,1.63,3,341,0,
12686159,Motive Condominium Wongvianyai,49135920,Rattana,,Thon buri,13.7045,100.47855,Private room,480,30,0,,,2,267,0,
